rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
1,cate6-00093_jpg.rf.68d52c5cd54709b32b5ab687a1cca161.txt,cate6-00093,29,1,23x2,4,"33, 34, 43, 44",5,0,True,"21: expected image-upper (y<=0.55), got y=0.558; 22: expected image-upper (y<=0.55), got y=0.565; 23: expected image-upper (y<=0.55), got y=0.582; 16: expected image-upper (y<=0.55), got y=0.569; 26: expected image-upper (y<=0.55), got y=0.566",13.2,single_axis_position,"duplicate_codes(+3.0), single_axis_position(+10.0), missing_codes(+0.20)"
2,cate2-00109_jpg.rf.3cc8a4bba16578df3bd2ae4ef124414a.txt,cate2-00109,34,1,32x3,0,-,1,0,False,"32: expected image-lower (y>=0.45), got y=0.388",12.0,duplicate_codes,"duplicate_codes(+6.0), single_axis_position(+2.0), overcount(+4.0)"
3,cate2-00109_jpg.rf.4f7ba9a179030058bf19f2f8cb3958b1.txt,cate2-00109,34,1,32x3,0,-,1,0,False,"32: expected image-lower (y>=0.45), got y=0.387",12.0,duplicate_codes,"duplicate_codes(+6.0), single_axis_position(+2.0), overcount(+4.0)"
4,cate2-00109_jpg.rf.988fa1e71c8624e141f4633c1fc7dacd.txt,cate2-00109,34,1,32x3,0,-,1,0,False,"32: expected image-lower (y>=0.45), got y=0.428",12.0,duplicate_codes,"duplicate_codes(+6.0), single_axis_position(+2.0), overcount(+4.0)"
5,cate6-00087_jpg.rf.0b8f6ac1157c7f4a78fe351de087c3a1.txt,cate6-00087,32,0,-,0,-,6,0,True,"17: expected image-upper (y<=0.55), got y=0.566; 16: expected image-upper (y<=0.55), got y=0.592; 11: expected image-upper (y<=0.55), got y=0.577; 21: expected image-upper (y<=0.55), got y=0.569; 26: expected image-upper (y<=0.55), got y=0.617; 27: expected image-upper (y<=0.55), got y=0.553",12.0,single_axis_position,single_axis_position(+12.0)
6,cate2-00035_jpg.rf.05a008269ed935a5c2d110783387856a.txt,cate2-00035,32,0,-,0,-,5,0,True,"12: expected image-upper (y<=0.55), got y=0.555; 11: expected image-upper (y<=0.55), got y=0.558; 21: expected image-upper (y<=0.55), got y=0.552; 22: expected image-upper (y<=0.55), got y=0.555; 23: expected image-upper (y<=0.55), got y=0.552",10.0,single_axis_position,single_axis_position(+10.0)
7,cate2-00107_jpg.rf.38bbe97f6ee9a126926b3e50cfeff7f7.txt,cate2-00107,33,1,23x2,0,-,1,1,False,"23: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.127; expected image-upper (y<=0.55), got y=0.776",10.0,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), overcount(+2.0)"
8,cate8-00263_jpg.rf.5c4cd36de33dadb5bf7810f3e055cd93.txt,cate8-00263,17,0,-,15,"11, 12, 13, 14, 16, 18, 21, 22, 25, 26, 28, 36, 38, 47, 48",4,0,True,"15: expected image-upper (y<=0.55), got y=0.557; 27: expected image-upper (y<=0.55), got y=0.562; 24: expected image-upper (y<=0.55), got y=0.570; 23: expected image-upper (y<=0.55), got y=0.566",8.75,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.75)"
9,cate7-00002_jpg.rf.eaf80e16fb8ac22309f8365ee3511943.txt,cate7-00002,29,0,-,3,"36, 41, 46",4,0,True,"48: expected image-lower (y>=0.45), got y=0.361; 47: expected image-lower (y>=0.45), got y=0.431; 37: expected image-lower (y>=0.45), got y=0.436; 38: expected image-lower (y>=0.45), got y=0.376",8.15,single_axis_position,"single_axis_position(+8.0), missing_codes(+0.15)"
10,cate6-00014_jpg.rf.222afb19caba6f009cd95961a7388096.txt,cate6-00014,30,1,36x2,3,"14, 35, 45",1,1,False,"36: WRONG QUADRANT (both axes) - expected image-right (x>=0.45), got x=0.384; expected image-lower (y>=0.45), got y=0.393",8.15,wrong_quadrant,"duplicate_codes(+3.0), wrong_quadrant(+5.0), missing_codes(+0.15)"
